,headings,Description
14,atria,"gross area (ga) floor area within inside perimeter of exterior walls of building. measurement excludes shafts and courtyards, but includes corridors, stairways, ramps, closets, base of atria (or similar voids) and thickness of interior walls, columns or other features. 3 dubai building code part general gross floor area (gfa) measurement used by planning authorities in dubai to define floor area ratio (far), where far ratio of gfa to plot area. building gfa sum of gfa of all floors, measured to exterior surface of external wall thickness and from centrelines of common walls joining two spaces. measurement excludes external wall features such as corniches, brackets, and faade cladding materials. habitable space space in building for living, sleeping or eating involving occupancy for continuous period of time. bathrooms, toilet rooms, closets, halls, storage or utility spaces and similar areas not habitable spaces. heritage building new or existing building in heritage area. heritage department of authority controls elevation design and faade treatment of buildings in these areas"
15,courtyards,"gross area (ga) floor area within inside perimeter of exterior walls of building. measurement excludes shafts and courtyards, but includes corridors, stairways, ramps, closets, base of atria (or similar voids) and thickness of interior walls, columns or other features. 3 dubai building code part general gross floor area (gfa) measurement used by planning authorities in dubai to define floor area ratio (far), where far ratio of gfa to plot area. building gfa sum of gfa of all floors, measured to exterior surface of external wall thickness and from centrelines of common walls joining two spaces. measurement excludes external wall features such as corniches, brackets, and faade cladding materials. habitable space space in building for living, sleeping or eating involving occupancy for continuous period of time. bathrooms, toilet rooms, closets, halls, storage or utility spaces and similar areas not habitable spaces. heritage building new or existing building in heritage area. heritage department of authority controls elevation design and faade treatment of buildings in these areas"
16,gross floor area (gfa),"gross area (ga) floor area within inside perimeter of exterior walls of building. measurement excludes shafts and courtyards, but includes corridors, stairways, ramps, closets, base of atria (or similar voids) and thickness of interior walls, columns or other features. 3 dubai building code part general gross floor area (gfa) measurement used by planning authorities in dubai to define floor area ratio (far), where far ratio of gfa to plot area. building gfa sum of gfa of all floors, measured to exterior surface of external wall thickness and from centrelines of common walls joining two spaces. measurement excludes external wall features such as corniches, brackets, and faade cladding materials. habitable space space in building for living, sleeping or eating involving occupancy for continuous period of time. bathrooms, toilet rooms, closets, halls, storage or utility spaces and similar areas not habitable spaces. heritage building new or existing building in heritage area. heritage department of authority controls elevation design and faade treatment of buildings in these areas"
17,occupancy,"gross area (ga) floor area within inside perimeter of exterior walls of building. measurement excludes shafts and courtyards, but includes corridors, stairways, ramps, closets, base of atria (or similar voids) and thickness of interior walls, columns or other features. 3 dubai building code part general gross floor area (gfa) measurement used by planning authorities in dubai to define floor area ratio (far), where far ratio of gfa to plot area. building gfa sum of gfa of all floors, measured to exterior surface of external wall thickness and from centrelines of common walls joining two spaces. measurement excludes external wall features such as corniches, brackets, and faade cladding materials. habitable space space in building for living, sleeping or eating involving occupancy for continuous period of time. bathrooms, toilet rooms, closets, halls, storage or utility spaces and similar areas not habitable spaces. heritage building new or existing building in heritage area. heritage department of authority controls elevation design and faade treatment of buildings in these areas"
18,shafts,"gross area (ga) floor area within inside perimeter of exterior walls of building. measurement excludes shafts and courtyards, but includes corridors, stairways, ramps, closets, base of atria (or similar voids) and thickness of interior walls, columns or other features. 3 dubai building code part general gross floor area (gfa) measurement used by planning authorities in dubai to define floor area ratio (far), where far ratio of gfa to plot area. building gfa sum of gfa of all floors, measured to exterior surface of external wall thickness and from centrelines of common walls joining two spaces. measurement excludes external wall features such as corniches, brackets, and faade cladding materials. habitable space space in building for living, sleeping or eating involving occupancy for continuous period of time. bathrooms, toilet rooms, closets, halls, storage or utility spaces and similar areas not habitable spaces. heritage building new or existing building in heritage area. heritage department of authority controls elevation design and faade treatment of buildings in these areas"
19,stairways,"gross area (ga) floor area within inside perimeter of exterior walls of building. measurement excludes shafts and courtyards, but includes corridors, stairways, ramps, closets, base of atria (or similar voids) and thickness of interior walls, columns or other features. 3 dubai building code part general gross floor area (gfa) measurement used by planning authorities in dubai to define floor area ratio (far), where far ratio of gfa to plot area. building gfa sum of gfa of all floors, measured to exterior surface of external wall thickness and from centrelines of common walls joining two spaces. measurement excludes external wall features such as corniches, brackets, and faade cladding materials. habitable space space in building for living, sleeping or eating involving occupancy for continuous period of time. bathrooms, toilet rooms, closets, halls, storage or utility spaces and similar areas not habitable spaces. heritage building new or existing building in heritage area. heritage department of authority controls elevation design and faade treatment of buildings in these areas"
20,NULL,historical building existing building of historical importance where original character of building to be retained
21,NULL,"4 modification fit-out of space or unit, or change to service system or building element"
22,educational,"net area (na) actual occupied area, not including unoccupied accessory areas such as corridors, stairways, ramps, toilet rooms, mechanical rooms and closets. occupiable space room or enclosed space designed for human occupancy in which individuals congregate for amusement, labour, educational or similar purposes"
23,net area (na),"net area (na) actual occupied area, not including unoccupied accessory areas such as corridors, stairways, ramps, toilet rooms, mechanical rooms and closets. occupiable space room or enclosed space designed for human occupancy in which individuals congregate for amusement, labour, educational or similar purposes"
24,occupancy,"net area (na) actual occupied area, not including unoccupied accessory areas such as corridors, stairways, ramps, toilet rooms, mechanical rooms and closets. occupiable space room or enclosed space designed for human occupancy in which individuals congregate for amusement, labour, educational or similar purposes"
25,stairways,"net area (na) actual occupied area, not including unoccupied accessory areas such as corridors, stairways, ramps, toilet rooms, mechanical rooms and closets. occupiable space room or enclosed space designed for human occupancy in which individuals congregate for amusement, labour, educational or similar purposes"
26,NULL,"owner any person, entity, firm or corporation having any legal or equitable interest in property in whose name plot or building registered as owner, including persons have long-term lease for specified period main or sub-developer in relation to unsold lands and buildings"
27,performance,"performance-based design design that follows prescriptive design requirements, but aspect(s) of which based on alternative solution that equivalent to or better than prescriptive design requirements"
28,NULL,prescriptive design design that meets requirements entirely
29,NULL,"reconstruction modification that not standalone. it affects adjacent egress routes or systems that not part of reconstructed area, such that larger part of building might need to be closed down or not occupied for period of time"
30,strength,renovation change to linings/finishes or strengthening of structure. it does not involve any reconfiguration of internal spaces. townhouse multiple villas connected by one or more walls to series of similar villas
31,NULL,villa separate building located on separate plot allocated with all its floors for dwelling of one single family and independent car parking space in addition to independent external open space
32,NULL,dubai building code part general a.3 references note this section gives references that apply throughout dbc. each part also has section for references specific to that part
33,NULL,"ref. a.1 uae ministry of interior general command of civil defence, 2018. uae fire and life safety code of practice (uae flsc). united arab emirates ministry of interior general command of civil defence"
34,NULL,"ref. a.2 government of dubai, 2017. dubai universal design code. dubai government of dubai. ref. a.3 dubai health authority, 2012. regulations (various). dubai dubai health authority. available at www.dha.gov.ae/en/healthregulation/pages/facilityrelated.aspx"
35,NULL,"ref. a.4 dubai health authority, 2019. dha health facility guidelines  part to part f. dubai dubai health authority. available at www.dubaitourism.gov.ae/en/services"
36,hotels,"ref. a.5 department of tourism and commerce marketing, 2019. dtcm hotel classification criteria for hotels, guest houses and hotel apartments. dubai dtcm. available at classification.dubaitourism.ae"
37,NULL,ref. a.6 dubai civil aviation authority application for no-objection certificate to construct building (above and below 300 m) in aviation easement areas. dubai dcaa. available at www.dcaa.gov.ae/services/building-constructions/construct-building
38,NULL,"ref. a.7 great britain, 2015. construction (design and management) regulations. london stationery office"
39,NULL,5 dubai building code part general a.3.1 asce acronyms and abbreviations american society of civil engineers building information modelling british standard european norm chapter rta si sira tra roads and transport authority international system of units security industry regulatory agency telecommunications regulatory authority a.3.2 may shall should verbal forms used within dbc associated text permitted associated text mandatory associated text recommended bim bs en ch
40,district cooling,"dtcm dbc dcaa dcr dda dewa dha dm dltm dsoa department of tourism and commerce marketing trakhees department of planning and development  ports customs and freezone corporation dubai building code uae flsc uae fire and life safety code of practice dubai civil aviation authority development control regulations dubai development authority dubai electricity and water authority dubai health authority dubai municipality dubai local transverse mercator dubai silicon oasis authority emicool emirates district cooling llc empower emirates central cooling systems corporation floor area ratio ground floor gross area gross floor area islamic affairs and charitable activities department knowledge and human development authority mechanical, electrical and plumbing net area far g ga gfa iacad khda mep na 6 dubai building code part general a.4 relationship of dbc to other local and international regulations a.4.2 international codes and standards dbc relies on international codes and standards, mainly bs en and american codes. these codes and standards shall be used in their latest edition except where dbc lists edition. note as example, part f (structures) mandates 2016 edition of asce/sei 7. edition mandated in dbc for one of two reasons"
41,standards,"dtcm dbc dcaa dcr dda dewa dha dm dltm dsoa department of tourism and commerce marketing trakhees department of planning and development  ports customs and freezone corporation dubai building code uae flsc uae fire and life safety code of practice dubai civil aviation authority development control regulations dubai development authority dubai electricity and water authority dubai health authority dubai municipality dubai local transverse mercator dubai silicon oasis authority emicool emirates district cooling llc empower emirates central cooling systems corporation floor area ratio ground floor gross area gross floor area islamic affairs and charitable activities department knowledge and human development authority mechanical, electrical and plumbing net area far g ga gfa iacad khda mep na 6 dubai building code part general a.4 relationship of dbc to other local and international regulations a.4.2 international codes and standards dbc relies on international codes and standards, mainly bs en and american codes. these codes and standards shall be used in their latest edition except where dbc lists edition. note as example, part f (structures) mandates 2016 edition of asce/sei 7. edition mandated in dbc for one of two reasons"
42,tables,"a) dbc refers to sections, tables and figures within that version of international code or standard and therefore cross-references might not apply to later editions. b) edition has reviewed for its applicability to dubai. a.4.1 local regulations dbc incorporates, unifies and replaces regulations related to building design published by dubai municipality (dm), dubai development authority (dda), department of planning and development  ports customs and freezone corporation (trakhees) and dubai silicon oasis authority (dsoa)"
43,NULL,regulations related to building design by dubai electricity and water authority (dewa) and islamic affairs and charitable activities department (iacad) incorporated or cross-referenced by dbc
44,NULL,regulations related to building design by security industry regulatory agency (sira) summarized and cross-referenced in part j
45,NULL,federal regulations also remain in place. dbc follows federal regulations of telecommunications regulatory authority (tra) and ministry of interior civil defence. tra regulations given in g.11. uae fire and life safety code (uae flsc) ref. a.1 cross-referenced throughout dbc
46,healthcare,"accessibility requirements of dubai universal design code ref. a.2 applicable to building design incorporated in part c and replace these aspects of dubai universal design code. dubai health authority (dha) regulations ref. a.3 and ref. a.4, along with relevant federal regulations, shall be followed for design of all healthcare facilities. 7 department of tourism and commerce marketing (dtcm) sets out requirements to achieve star ratings for hotels, resorts, hotel apartments and guest houses ref. a.5. achieving minimum requirements of dbc does not guarantee rating from dtcm. dtcm should be consulted at earliest stage of design"
47,hotels,"accessibility requirements of dubai universal design code ref. a.2 applicable to building design incorporated in part c and replace these aspects of dubai universal design code. dubai health authority (dha) regulations ref. a.3 and ref. a.4, along with relevant federal regulations, shall be followed for design of all healthcare facilities. 7 department of tourism and commerce marketing (dtcm) sets out requirements to achieve star ratings for hotels, resorts, hotel apartments and guest houses ref. a.5. achieving minimum requirements of dbc does not guarantee rating from dtcm. dtcm should be consulted at earliest stage of design"
48,NULL,"knowledge and human development authority (khda) and ministry of education both license education facilities, but they do not provide separate design requirements. education facilities approved by main authorities in accordance with dbc"
49,NULL,roads and transport authority (rta) regulations in relation to right of way referenced by dbc as appropriate
50,NULL,"dubai civil aviation authority (dcaa) regulates maximum building heights within flight path. regulations related to permitting, procedures, construction and design of non-building elements such as infrastructure, transportation systems, and public realm remain, and can be obtained from, relevant authority. planning development regulations published by developers or planning authorities not replaced by dbc. dbc contains planning regulations in part b, but these shall be followed only where plot-specific planning development regulations unavailable"
51,standards,"dubai building code part general a.4.3 hierarchy of codes and standards a.4.4 safe by design principle of safe by design requires consultant to address health and safety of all occupants, contractors and users of building. this includes contractors, maintenance staff, occupants, visitors and demolition teams throughout building lifecycle"
52,NULL,"this process documented in risk register where consultant acknowledges risk, investigates mitigation measures and provides design solution which reduces risk to practicable level, while also taking account of cost, constructability, other project goals, etc. safe by design principles not mandated by first edition of dbc, but likely to be enforced in future revisions. consultants should familiarize themselves with these principles by reference to construction design and management regulations ref. a.7"
53,standards,hierarchy of adopted codes and standards defined as follows
54,NULL,a) dbc and uae fire and life safety code of practice (uae flsc) ref. a.1 together form main regulations for building design in dubai. uae flsc referenced throughout dbc. b) dbc follows sira regulations for design of security. these regulations summarized and referenced in part j
55,NULL,c) dbc follows federal regulations of tra for design of telecommunications. these regulations documented in g.11
56,further reading,"d) international codes and standards for design, material and product specification listed under heading of essential references in each part, and referenced in relevant sections of each part, also requirements of dbc. e) documents listed under heading of further reading in each part provided for information as useful guides to building design. where there conflict between dbc and reference model codes or standards, most restrictive/highest performance requirements shall be met"
57,performance,"d) international codes and standards for design, material and product specification listed under heading of essential references in each part, and referenced in relevant sections of each part, also requirements of dbc. e) documents listed under heading of further reading in each part provided for information as useful guides to building design. where there conflict between dbc and reference model codes or standards, most restrictive/highest performance requirements shall be met"
58,standards,"d) international codes and standards for design, material and product specification listed under heading of essential references in each part, and referenced in relevant sections of each part, also requirements of dbc. e) documents listed under heading of further reading in each part provided for information as useful guides to building design. where there conflict between dbc and reference model codes or standards, most restrictive/highest performance requirements shall be met"
59,standards,where there conflict between general requirement and specific requirement of dbc or its referenced codes/standards then specific requirement applies
60,scope,"8 dubai building code part general a.5 scope and application of dbc a.5.1 general dbc applies to new buildings and changes to existing buildings as described in table a.1, except where alternative solution permitted (see a.8)"
61,types,dbc applies to occupancies and use types described in table a.2
62,educational,"occupancy assembly business educational use amusement park, theatre, cinema, restaurant, museum, art gallery, place of worship, library, exhibition and conference centre, etc"
63,occupancy,"occupancy assembly business educational use amusement park, theatre, cinema, restaurant, museum, art gallery, place of worship, library, exhibition and conference centre, etc"
64,NULL,"office, professional services, government centre, post office, bank, etc"
65,educational,"university, college, school, kindergarten, nursery, educational institute hotel establishment hotel, resort, guesthouse, hotel apartment residential apartment, studio, student accommodation, labour accommodation, staff accommodation parking retail mall industrial storage villas and townhouses open, enclosed, mechanical shopping centre, department store, shop, kiosk, showroom, stores open mall, enclosed mall factory, workshop warehouse table a.2 occupancies and use types change to existing building renovation description applicable codes change to linings/finishes or strengthening of structure. it does not involve any reconfiguration of internal spaces. dbc and uae flsc ref. a.1 apply to interior finish changes or building envelope changes"
66,labour accommodation,"university, college, school, kindergarten, nursery, educational institute hotel establishment hotel, resort, guesthouse, hotel apartment residential apartment, studio, student accommodation, labour accommodation, staff accommodation parking retail mall industrial storage villas and townhouses open, enclosed, mechanical shopping centre, department store, shop, kiosk, showroom, stores open mall, enclosed mall factory, workshop warehouse table a.2 occupancies and use types change to existing building renovation description applicable codes change to linings/finishes or strengthening of structure. it does not involve any reconfiguration of internal spaces. dbc and uae flsc ref. a.1 apply to interior finish changes or building envelope changes"
67,staff accommodation,"university, college, school, kindergarten, nursery, educational institute hotel establishment hotel, resort, guesthouse, hotel apartment residential apartment, studio, student accommodation, labour accommodation, staff accommodation parking retail mall industrial storage villas and townhouses open, enclosed, mechanical shopping centre, department store, shop, kiosk, showroom, stores open mall, enclosed mall factory, workshop warehouse table a.2 occupancies and use types change to existing building renovation description applicable codes change to linings/finishes or strengthening of structure. it does not involve any reconfiguration of internal spaces. dbc and uae flsc ref. a.1 apply to interior finish changes or building envelope changes"
68,strength,"university, college, school, kindergarten, nursery, educational institute hotel establishment hotel, resort, guesthouse, hotel apartment residential apartment, studio, student accommodation, labour accommodation, staff accommodation parking retail mall industrial storage villas and townhouses open, enclosed, mechanical shopping centre, department store, shop, kiosk, showroom, stores open mall, enclosed mall factory, workshop warehouse table a.2 occupancies and use types change to existing building renovation description applicable codes change to linings/finishes or strengthening of structure. it does not involve any reconfiguration of internal spaces. dbc and uae flsc ref. a.1 apply to interior finish changes or building envelope changes"
69,student accommodation,"university, college, school, kindergarten, nursery, educational institute hotel establishment hotel, resort, guesthouse, hotel apartment residential apartment, studio, student accommodation, labour accommodation, staff accommodation parking retail mall industrial storage villas and townhouses open, enclosed, mechanical shopping centre, department store, shop, kiosk, showroom, stores open mall, enclosed mall factory, workshop warehouse table a.2 occupancies and use types change to existing building renovation description applicable codes change to linings/finishes or strengthening of structure. it does not involve any reconfiguration of internal spaces. dbc and uae flsc ref. a.1 apply to interior finish changes or building envelope changes"
70,types,"university, college, school, kindergarten, nursery, educational institute hotel establishment hotel, resort, guesthouse, hotel apartment residential apartment, studio, student accommodation, labour accommodation, staff accommodation parking retail mall industrial storage villas and townhouses open, enclosed, mechanical shopping centre, department store, shop, kiosk, showroom, stores open mall, enclosed mall factory, workshop warehouse table a.2 occupancies and use types change to existing building renovation description applicable codes change to linings/finishes or strengthening of structure. it does not involve any reconfiguration of internal spaces. dbc and uae flsc ref. a.1 apply to interior finish changes or building envelope changes"
71,NULL,"modification fit-out of space/unit, or change to service system or building element"
72,NULL,dbc and uae flsc ref. a.1 apply to fit-out or change
73,NULL,reconstruction modification that not stand-alone. it affects adjacent egress routes or systems that not part of reconstruction area such that larger part of building might need to be closed down or not occupied for period of time
74,occupancy,change of use change of use or occupancy of part or all of building
75,NULL,"dbc and uae flsc ref. a.1 apply to reconstruction and any areas of building which impacted by reconstruction. dbc and uae flsc ref. a.1 apply to change of use and any areas of building which impacted by change of use, e.g. existing exit stairs and routes, vertical transport, quantity and type of sanitary provisions"
76,built-up area,"addition increase in buildings gross area or built-up area, and/or height or depth"
77,gross floor area (gfa),"dbc and uae flsc ref. a.1 apply to addition. if addition relies on remainder of existing building for escape, vertical transport, etc., existing building shall also be assessed against dbc and uae flsc ref. a.1. table a.1 existing building and application of dbc 9 dubai building code part general dbc does not apply to a) infrastructure such as road and rail bridges, tunnels, culverts, metro stations, hydraulic structures, buried and overhead utilities, power stations, antennas and masts, wind turbines and nuclear facilities b) marine structures such as canals, dams, dikes, levies, piers, jetties and wharves c) oil and gas structures such as petrochemical facilities, oil refineries, liquefied natural gas terminals, oil platforms and tanks d) structures such as tents, cranes, storage racks, scaffolding, formwork and a.5.2 floor area and building height definitions in dbc gross floor area (gfa) a.5.2.1 gross floor area (gfa) used by planning authorities in dubai to define floor area ratio (far), where far ratio of gfa to plot area. building gfa sum of gfa of all floors, measured to exterior surface of external wall thickness and from centrelines of common walls joining two spaces. measurement excludes external wall features such as corniches, brackets, and faade cladding materials. falsework gfa calculated based on table a.3. e) structures subject to specific loading conditions such as stadia, grandstands, silos and chimneys. gfa might be in development control regulations (dcr). consultants shall calculate gfa using dbc definition and table a.1 unless gfa stated in dcr"
78,NULL,dbc does not apply to historical buildings where original character of building to be retained. buildings considered to be historical shall conform to guidelines of relevant authority as appropriate. buildings in heritage areas or considered to be heritage buildings shall follow dbc. heritage department of authority controls elevation design and faade treatment
79,NULL,villas and townhouses addressed in part k
80,atria,"10 dubai building code part general space or area included or excluded in gfa space or area included or excluded in gfa storage on ground and above prayer room and ablution area gym with gross area 50% of roof area gym with gross area >50% of roof area swimming pools (indoor and outdoor) including services (showers, toilets, lockers, changing rooms, etc.) arcades (open, non-air conditioned) base of double height volumes and atria void of double height floors and atria floor voids terraces balconies included excluded excluded gross area of gym exceeding 50% included* excluded excluded included excluded excluded excluded excluded note * this rule associated with roof area but it applies to gyms located anywhere in building"
81,showers,"10 dubai building code part general space or area included or excluded in gfa space or area included or excluded in gfa storage on ground and above prayer room and ablution area gym with gross area 50% of roof area gym with gross area >50% of roof area swimming pools (indoor and outdoor) including services (showers, toilets, lockers, changing rooms, etc.) arcades (open, non-air conditioned) base of double height volumes and atria void of double height floors and atria floor voids terraces balconies included excluded excluded gross area of gym exceeding 50% included* excluded excluded included excluded excluded excluded excluded note * this rule associated with roof area but it applies to gyms located anywhere in building"
82,built-up area,"habitable and occupiable spaces including sanitary facilities mezzanine floors lobbies corridors stairs basements in buildings other than villas basements in villas attic spaces parking parking lobbies internal roads loading areas mechanical and service rooms mechanical ducts elevator shaft at elevator recall floor elevator shafts at other floors elevator machine rooms included included included included included habitable and occupiable spaces including sanitary facilities to be included excluded attic spaces less than 2.15 height and used for services only to be excluded excluded excluded excluded excluded excluded excluded included excluded excluded mechanical, electrical and plumbing plant floors excluded excluded excluded excluded excluded shafts refuse chutes waste rooms storage below ground table a.3 areas included in gfa 11 dubai building code part general built-up area a.5.2.2 built-up area used also by planning authorities. it defined as total constructed area in building or structure measured from external walls of building, inclusive of balconies, terraces and other projections as well as any other covered spaces such as covered parking structures, circulation corridors, loading/unloading bays, basements, service floors, indoor swimming pools and any other permanent structures on plot. calculation of total built-up area shall exclude following a) shafts, courtyards and yards including mechanical, electrical and plumbing (mep) shafts, refuse chutes and similar 16 18 17 06 01 02 03 05 04 08 07 11 05 09 12 14 15 b) non-covered outdoor landscape and hardscape 06 10 13 surfaces and courtyards c) lightweight outdoor shading structures such as pergolas and standalone canopies"
83,courtyards,"habitable and occupiable spaces including sanitary facilities mezzanine floors lobbies corridors stairs basements in buildings other than villas basements in villas attic spaces parking parking lobbies internal roads loading areas mechanical and service rooms mechanical ducts elevator shaft at elevator recall floor elevator shafts at other floors elevator machine rooms included included included included included habitable and occupiable spaces including sanitary facilities to be included excluded attic spaces less than 2.15 height and used for services only to be excluded excluded excluded excluded excluded excluded excluded included excluded excluded mechanical, electrical and plumbing plant floors excluded excluded excluded excluded excluded shafts refuse chutes waste rooms storage below ground table a.3 areas included in gfa 11 dubai building code part general built-up area a.5.2.2 built-up area used also by planning authorities. it defined as total constructed area in building or structure measured from external walls of building, inclusive of balconies, terraces and other projections as well as any other covered spaces such as covered parking structures, circulation corridors, loading/unloading bays, basements, service floors, indoor swimming pools and any other permanent structures on plot. calculation of total built-up area shall exclude following a) shafts, courtyards and yards including mechanical, electrical and plumbing (mep) shafts, refuse chutes and similar 16 18 17 06 01 02 03 05 04 08 07 11 05 09 12 14 15 b) non-covered outdoor landscape and hardscape 06 10 13 surfaces and courtyards c) lightweight outdoor shading structures such as pergolas and standalone canopies"
84,ducts,"habitable and occupiable spaces including sanitary facilities mezzanine floors lobbies corridors stairs basements in buildings other than villas basements in villas attic spaces parking parking lobbies internal roads loading areas mechanical and service rooms mechanical ducts elevator shaft at elevator recall floor elevator shafts at other floors elevator machine rooms included included included included included habitable and occupiable spaces including sanitary facilities to be included excluded attic spaces less than 2.15 height and used for services only to be excluded excluded excluded excluded excluded excluded excluded included excluded excluded mechanical, electrical and plumbing plant floors excluded excluded excluded excluded excluded shafts refuse chutes waste rooms storage below ground table a.3 areas included in gfa 11 dubai building code part general built-up area a.5.2.2 built-up area used also by planning authorities. it defined as total constructed area in building or structure measured from external walls of building, inclusive of balconies, terraces and other projections as well as any other covered spaces such as covered parking structures, circulation corridors, loading/unloading bays, basements, service floors, indoor swimming pools and any other permanent structures on plot. calculation of total built-up area shall exclude following a) shafts, courtyards and yards including mechanical, electrical and plumbing (mep) shafts, refuse chutes and similar 16 18 17 06 01 02 03 05 04 08 07 11 05 09 12 14 15 b) non-covered outdoor landscape and hardscape 06 10 13 surfaces and courtyards c) lightweight outdoor shading structures such as pergolas and standalone canopies"
85,refuse chutes,"habitable and occupiable spaces including sanitary facilities mezzanine floors lobbies corridors stairs basements in buildings other than villas basements in villas attic spaces parking parking lobbies internal roads loading areas mechanical and service rooms mechanical ducts elevator shaft at elevator recall floor elevator shafts at other floors elevator machine rooms included included included included included habitable and occupiable spaces including sanitary facilities to be included excluded attic spaces less than 2.15 height and used for services only to be excluded excluded excluded excluded excluded excluded excluded included excluded excluded mechanical, electrical and plumbing plant floors excluded excluded excluded excluded excluded shafts refuse chutes waste rooms storage below ground table a.3 areas included in gfa 11 dubai building code part general built-up area a.5.2.2 built-up area used also by planning authorities. it defined as total constructed area in building or structure measured from external walls of building, inclusive of balconies, terraces and other projections as well as any other covered spaces such as covered parking structures, circulation corridors, loading/unloading bays, basements, service floors, indoor swimming pools and any other permanent structures on plot. calculation of total built-up area shall exclude following a) shafts, courtyards and yards including mechanical, electrical and plumbing (mep) shafts, refuse chutes and similar 16 18 17 06 01 02 03 05 04 08 07 11 05 09 12 14 15 b) non-covered outdoor landscape and hardscape 06 10 13 surfaces and courtyards c) lightweight outdoor shading structures such as pergolas and standalone canopies"
86,shafts,"habitable and occupiable spaces including sanitary facilities mezzanine floors lobbies corridors stairs basements in buildings other than villas basements in villas attic spaces parking parking lobbies internal roads loading areas mechanical and service rooms mechanical ducts elevator shaft at elevator recall floor elevator shafts at other floors elevator machine rooms included included included included included habitable and occupiable spaces including sanitary facilities to be included excluded attic spaces less than 2.15 height and used for services only to be excluded excluded excluded excluded excluded excluded excluded included excluded excluded mechanical, electrical and plumbing plant floors excluded excluded excluded excluded excluded shafts refuse chutes waste rooms storage below ground table a.3 areas included in gfa 11 dubai building code part general built-up area a.5.2.2 built-up area used also by planning authorities. it defined as total constructed area in building or structure measured from external walls of building, inclusive of balconies, terraces and other projections as well as any other covered spaces such as covered parking structures, circulation corridors, loading/unloading bays, basements, service floors, indoor swimming pools and any other permanent structures on plot. calculation of total built-up area shall exclude following a) shafts, courtyards and yards including mechanical, electrical and plumbing (mep) shafts, refuse chutes and similar 16 18 17 06 01 02 03 05 04 08 07 11 05 09 12 14 15 b) non-covered outdoor landscape and hardscape 06 10 13 surfaces and courtyards c) lightweight outdoor shading structures such as pergolas and standalone canopies"
