,Sentences
16,Contractor: Physical or legal person in charge of  carrying out construction works and licensed to  practise contracting activities in Dubai in accordance  with the applicable legislation.
17,"Developer: Person or entity who prepares land for  building sites, constructs buildings, creates residential  subdivisions or private enterprises, and rehabilitates  existing buildings."
18,"Development: General term for the construction,  erection or placing of a building or structure; the  making of an addition or alteration to a building or  structure; a significant change in use or in intensity of  use of any building or structure."
19,"Development control regulations (DCR): Document  that shows planning regulations (such as height,  land use, area, setbacks, building lines) for the full  development, and each plot in a subdivision plan, as  issued by the relevant planning Authority or master  developer."
20,"Engineer: Physical or legal person in charge of  designing or supervising construction works, or both,  and licensed to practise the engineering profession in  Dubai in accordance with the applicable legislation."
21,"Existing building: Building that is completed, including  commissioning and handover."
22,"The DBC applies to  renovation, modification, reconstruction, addition to, or  change of use of an existing building."
23,Floor area ratio (FAR): Ratio of gross floor area (GFA)  to plot area.
24,Gross area (GA): Floor area within the inside perimeter  of the exterior walls of a building.
25,"The measurement  excludes shafts and courtyards, but includes corridors,  stairways, ramps, closets, base of atria (or similar  voids) and the thickness of interior walls, columns or  other features."
26,"A 3    Dubai Building Code    Part A: General     Gross floor area (GFA): Measurement used by  Planning Authorities in Dubai to define the floor area  ratio (FAR), where FAR is the ratio of GFA to plot area."
27,"The building GFA is the sum of the GFA of all floors,  measured to the exterior surface of the external wall  thickness and from the centrelines of the common  walls joining two spaces."
28,"The measurement excludes  external wall features such as corniches, brackets, and  façade cladding materials."
29,"Habitable space: Space in a building for living, sleeping  or eating involving occupancy for continuous period of  time."
30,"Bathrooms, toilet rooms, closets, halls, storage  or utility spaces and similar areas are not habitable  spaces."
31,Heritage building: New or existing building in a  heritage area.
32,The heritage department of the  Authority controls the elevation design and façade  treatment of buildings in these areas.
33,Historical building: Existing building of historical  importance where the original character of the building  is to be retained.
34,"Masterplan: Comprehensive plan to guide the long-  term physical development of a specific area based  on identified objectives, strategies, and timelines  for implementation."
35,"Includes plans for land use,  community facilities and utilities, transportation of  goods and people, and energy use and conservation."
36,Zoning ordinances and policies are developed for  different areas or zoning districts based on the  masterplan.
37,"A 4    Modification: Fit-out of a space or unit, or change to a  service system or building element."
38,Plot area: Total area of a plot between its boundary  lines as measured on a horizontal plane.
39,"Net area (NA): Actual occupied area, not including  unoccupied accessory areas such as corridors,  stairways, ramps, toilet rooms, mechanical rooms and  closets."
40,"Occupiable space: Room or enclosed space designed  for human occupancy in which individuals congregate  for amusement, labour, educational or similar purposes."
41,"Owner: Any person, entity, firm or corporation having  any legal or equitable interest in the property in whose  name the plot or building is registered as Owner,  including persons who have a long-term lease for a  specified period; the Main or Sub-Developer in relation  to unsold lands and buildings."
42,"Performance-based design: Design that follows  prescriptive design requirements, but an aspect(s)  of which is based on an alternative solution that is  equivalent to or better than the prescriptive design  requirements."
43,"Plot: Area of land that is:  a) clearly defined (by landmarks, coordinates, distinct  number, and the lengths of its sides and location);    a) intended for construction under any approved plan  or division project, or by any other method; and    a) legally authorized to be used for construction or    building as one unit."
44,Prescriptive design: Design that meets the  requirements entirely.
45,"Project: Construction of a permanent building, or any  other civil work on a leased property including any  modifications or installations in pre-built facilities."
46,Reconstruction: Modification that is not standalone.
47,"It  affects adjacent egress routes or systems that are not  part of the reconstructed area, such that a larger part  of the building might need to be closed down or not  occupied for a period of time."
48,Renovation: Change to linings/finishes or  strengthening of structure.
49,It does not involve any  reconfiguration of internal spaces.
50,Townhouse: Multiple villas connected by one or more  walls to a series of similar villas.
51,Villa: Separate building located on a separate plot  allocated with all its floors for the dwelling of one  single family and an independent car parking space in  addition to independent external open space.
52,Dubai Building Code    Part A: General     A.3    References    NOTE: This section gives references that apply throughout the DBC.
53,Each Part also  has a section for references specific to that Part.
54,Ref.
55,"A.1 UAE MINISTRY OF THE INTERIOR GENERAL COMMAND OF CIVIL  DEFENCE, 2018."
56,UAE Fire and Life Safety Code of Practice (UAE FLSC).
57,United Arab  Emirates: Ministry of the Interior General Command of Civil Defence.
58,Ref.
59,"A.2 GOVERNMENT OF DUBAI, 2017."
60,Dubai universal design code.
61,Dubai:  Government of Dubai.
62,Ref.
63,"A.3 DUBAI HEALTH AUTHORITY, 2012."
64,Regulations (various).
65,Dubai: Dubai  Health Authority.
66,Available at:  www.dha.gov.ae/en/HealthRegulation/Pages/FacilityRelated.aspx.
67,Ref.
68,"A.4 DUBAI HEALTH AUTHORITY, 2019."
69,DHA Health facility guidelines – Part A  to Part F. Dubai: Dubai Health Authority.
70,Available at:  www.dubaitourism.gov.ae/en/services.
71,Ref.
72,"A.5 DEPARTMENT OF TOURISM AND COMMERCE MARKETING, 2019."
73,"DTCM  Hotel classification criteria for hotels, guest houses and hotel apartments."
74,Dubai:  DTCM.
75,Available at: classification.dubaitourism.ae.
76,Ref.
77,A.6 DUBAI CIVIL AVIATION AUTHORITY Application for a no-objection  certificate to construct a building (above and below 300 m) in Aviation Easement  areas.
78,Dubai: DCAA.
79,Available at:  www.dcaa.gov.ae/services/building-constructions/construct-building.
80,Ref.
81,"A.7 GREAT BRITAIN, 2015."
82,The Construction (Design and Management)  Regulations.
83,London: The Stationery Office.
84,A 5    Dubai Building Code    Part A: General     A.3.1  ASCE    Acronyms and abbreviations  American Society of Civil Engineers    building information modelling    British Standard European Norm    chapter    RTA    SI    SIRA    TRA    Roads and Transport Authority    International system of units    Security Industry Regulatory Agency    Telecommunications Regulatory Authority    A.3.2  May    Shall    Should    Verbal forms used within the DBC    The associated text is permitted    The associated text is mandatory    The associated text is recommended    BIM    BS EN    Ch.
85,"DTCM    DBC    DCAA    DCR    DDA    DEWA    DHA    DM    DLTM    DSOA    Department of Tourism and Commerce  Marketing    Trakhees    Department of Planning and Development –  Ports Customs and Freezone Corporation    Dubai Building Code    UAE FLSC    UAE Fire and Life Safety Code of Practice    Dubai Civil Aviation Authority    Development Control Regulations    Dubai Development Authority    Dubai Electricity and Water Authority    Dubai Health Authority    Dubai Municipality    Dubai Local Transverse Mercator    Dubai Silicon Oasis Authority    Emicool    Emirates District Cooling LLC    Empower    Emirates Central Cooling Systems Corporation    floor area ratio    ground floor    gross area    gross floor area    Islamic Affairs and Charitable Activities  Department    Knowledge and Human Development Authority    mechanical, electrical and plumbing    net area    FAR    G    GA    GFA    IACAD    KHDA    MEP    NA    A 6    Dubai Building Code    Part A: General     A.4    Relationship of DBC to other local and international regulations    A.4.2    International codes and standards    The DBC relies on international codes and standards,  mainly BS EN and American codes."
86,These codes and  standards shall be used in their latest edition except  where the DBC lists an edition.
87,"NOTE: As an example, Part F (Structures) mandates  the 2016 edition of ASCE/SEI 7."
88,An edition is mandated in the DBC for one of two  reasons.
89,"a) The DBC refers to sections, tables and figures  within that version of the international code or  standard and therefore the cross-references might  not apply to later editions."
90,b) The edition has been reviewed for its applicability    to Dubai.
91,"A.4.1    Local regulations    The DBC incorporates, unifies and replaces the  regulations related to building design published  by Dubai Municipality (DM), Dubai Development  Authority (DDA), Department of Planning and  Development – Ports Customs and Freezone  Corporation (Trakhees) and Dubai Silicon Oasis  Authority (DSOA)."
92,Regulations related to building design by Dubai  Electricity and Water Authority (DEWA) and Islamic  Affairs and Charitable Activities Department (IACAD)  are incorporated or cross-referenced by the DBC.
93,Regulations related to building design by the Security  Industry Regulatory Agency (SIRA) are summarized  and cross-referenced in Part J.
94,Federal regulations also remain in place.
95,The DBC  follows the Federal regulations of Telecommunications  Regulatory Authority (TRA) and the Ministry of  Interior Civil Defence.
96,The TRA regulations are given in  G.11.
97,The UAE Fire and Life Safety Code (UAE FLSC)  [Ref.
98,A.1] is cross-referenced throughout the DBC.
99,Accessibility requirements of the Dubai Universal  Design Code [Ref.
100,A.2] applicable to building design  are incorporated in Part C and replace these aspects of  the Dubai Universal Design Code.
101,The Dubai Health Authority (DHA) regulations  [Ref.
102,A.3 and Ref.
103,"A.4], along with the relevant Federal  regulations, shall be followed for the design of all  healthcare facilities."
104,"A 7    The Department of Tourism and Commerce Marketing  (DTCM) sets out the requirements to achieve star  ratings for hotels, resorts, hotel apartments and  guest houses [Ref."
105,A.5].
106,Achieving the minimum  requirements of the DBC does not guarantee a rating  from DTCM.
107,DTCM should be consulted at the earliest  stage of design.
108,"The Knowledge and Human Development Authority  (KHDA) and the Ministry of Education both license  education facilities, but they do not provide separate  design requirements."
109,Education facilities are approved  by the main Authorities in accordance with the DBC.
110,Roads and Transport Authority (RTA) regulations in  relation to the right of way are referenced by the DBC  as appropriate.
111,Dubai Civil Aviation Authority (DCAA) regulates  maximum building heights within the flight path.
112,"Regulations related to permitting, procedures,  construction and design of non-building elements  such as infrastructure, transportation systems, and  the public realm remain, and can be obtained from, the  relevant Authority."
113,Planning development regulations published by  Developers or Planning Authorities are not replaced  by the DBC.
114,"The DBC contains planning regulations  in Part B, but these shall be followed only where  plot-specific planning development regulations are  unavailable."
115,"Dubai Building Code    Part A: General     A.4.3    Hierarchy of codes and standards    A.4.4    Safe by design    The principle of “safe by design” requires the  Consultant to address the health and safety of all  occupants, Contractors and users of the building."
116,"This includes Contractors, maintenance staff,  occupants, visitors and demolition teams throughout  the building lifecycle."
117,"This process is documented in a risk register where  the Consultant acknowledges the risk, investigates  mitigation measures and provides a design solution  which reduces the risk to a practicable level, while also  taking account of cost, constructability, other project  goals, etc."
118,"Safe by design principles are not mandated by the  first edition of the DBC, but are likely to be enforced  in future revisions."
119,Consultants should familiarize  themselves with these principles by reference to the  Construction Design and Management Regulations  [Ref.
120,A.7].
121,The hierarchy of the adopted codes and standards is  defined as follows.
122,a) The DBC and UAE Fire and Life Safety Code of    Practice (UAE FLSC) [Ref.
123,A.1] together form the  main regulations for building design in Dubai.
124,The  UAE FLSC is referenced throughout the DBC.
125,b) The DBC follows the SIRA regulations for    the design of security.
126,These regulations are  summarized and referenced in Part J.    c) The DBC follows the Federal regulations of TRA  for the design of telecommunications.
127,These  regulations are documented in G.11.
128,"d) The international codes and standards for design,  material and product specification listed under the  heading of “Essential references” in each Part, and  referenced in the relevant sections of each Part, are  also requirements of the DBC."
129,e) Documents listed under the heading of “Further    reading” in each Part are provided for information  as useful guides to building design.
130,"Where there is conflict between the DBC and reference  model codes or standards, the most restrictive/highest  performance requirements shall be met."
131,Where there is a conflict between a general  requirement and a specific requirement of the DBC  or its referenced codes/standards then the specific  requirement applies.
132,"A 8    Dubai Building Code    Part A: General     A.5    Scope and application of the DBC    A.5.1    General    The DBC applies to new buildings and changes to existing buildings as described in  Table A.1, except where an alternative solution is permitted (see A.8)."
133,The DBC applies to the occupancies and use types described in Table A.2.
134,"Occupancy    Assembly    Business    Educational    Use    Amusement park, theatre, cinema, restaurant, museum, art gallery, place of  worship, library, exhibition and conference centre, etc."
135,"Office, professional services, government centre, post office, bank, etc."
136,"University, college, school, kindergarten, nursery, educational institute    Hotel establishment    Hotel, resort, guesthouse, hotel apartment    Residential    Apartment, studio, student accommodation, labour accommodation, staff  accommodation    Parking    Retail    Mall    Industrial    Storage    Villas and townhouses    Open, enclosed, mechanical    Shopping centre, department store, shop, kiosk, showroom, stores    Open mall, enclosed mall    Factory, workshop    Warehouse    Table A.2 Occupancies and use types    Change to an  existing building    Renovation    Description    Applicable codes    Change to linings/finishes or  strengthening of structure."
137,It does not  involve any reconfiguration of internal  spaces.
138,DBC and UAE FLSC [Ref.
139,A.1] apply  to interior finish changes or building  envelope changes.
140,"Modification    Fit-out of a space/unit, or change to a  service system or building element."
141,DBC and UAE FLSC [Ref.
142,A.1] apply to  the fit-out or change.
143,Reconstruction    Modification that is not stand-alone.
144,It affects adjacent egress routes  or systems that are not part of the  reconstruction area such that a larger  part of the building might need to  be closed down or not occupied for a  period of time.
145,Change of use    Change of use or occupancy of part or  all of the building.
146,DBC and UAE FLSC [Ref.
147,A.1] apply  to the reconstruction and any areas of  the building which are impacted by the  reconstruction.
148,DBC and UAE FLSC [Ref.
149,"A.1] apply  to the change of use and any areas of  the building which are impacted by the  change of use, e.g."
150,"existing exit stairs  and routes, vertical transport, quantity  and type of sanitary provisions."
151,"Addition    An increase in the building’s gross area  or built-up area, and/or height or depth."
152,DBC and UAE FLSC [Ref.
153,A.1] apply to  the addition.
154,"If the addition relies on the remainder of  the existing building for escape, vertical  transport, etc., the existing building  shall also be assessed against the DBC  and UAE FLSC [Ref."
155,A.1].
156,"Table A.1 Existing building and application of the DBC    A 9    Dubai Building Code    Part A: General     The DBC does not apply to:    a) infrastructure such as road and rail bridges, tunnels, culverts, metro stations,    hydraulic structures, buried and overhead utilities, power stations, antennas and  masts, wind turbines and nuclear facilities;    b) marine structures such as canals, dams, dikes, levies, piers, jetties and wharves;    c) oil and gas structures such as petrochemical facilities, oil refineries, liquefied    natural gas terminals, oil platforms and tanks;    d) structures such as tents, cranes, storage racks, scaffolding, formwork and    A.5.2    Floor area and building height definitions in DBC    Gross floor area (GFA)    A.5.2.1  Gross floor area (GFA) is used by Planning Authorities in Dubai to define the floor  area ratio (FAR), where FAR is the ratio of GFA to plot area."
157,"The building GFA is the  sum of the GFA of all floors, measured to the exterior surface of the external wall  thickness and from the centrelines of the common walls joining two spaces."
158,"The  measurement excludes external wall features such as corniches, brackets, and façade  cladding materials."
159,falsework;    GFA is calculated based on Table A.3.
160,"e) structures subject to specific loading conditions such as stadia, grandstands, silos    and chimneys."
161,GFA might be in development control regulations (DCR).
162,Consultants shall calculate  GFA using the DBC definition and Table A.1 unless GFA is stated in the DCR.
163,The DBC does not apply to historical buildings where the original character of the  building is to be retained.
164,Buildings considered to be historical shall conform to the  guidelines of the relevant Authority as appropriate.
165,Buildings in heritage areas or considered to be heritage buildings shall follow the  DBC.
166,The heritage department of the Authority controls the elevation design and  façade treatment.
167,"Villas and townhouses are addressed in Part K.    A 10    Dubai Building Code    Part A: General     Space or area    Included or excluded in GFA    Space or area    Included or excluded in GFA    Storage on ground and above    Prayer room and ablution area    Gym with gross area ≤50% of roof area    Gym with gross area >50% of roof area    Swimming pools (indoor and outdoor) including  services (showers, toilets, lockers, changing  rooms, etc.)"
168,"Arcades (open, non-air conditioned)    Base of double height volumes and atria    Void of double height floors and atria    Floor voids    Terraces    Balconies    Included    Excluded    Excluded    The gross area of the gym exceeding 50% is  included*    Excluded    Excluded    Included    Excluded    Excluded    Excluded    Excluded    NOTE: * This rule is associated with the roof area but it applies to gyms located anywhere in the  building."
169,"Habitable and occupiable spaces including  sanitary facilities    Mezzanine floors    Lobbies    Corridors    Stairs    Basements in buildings other than villas    Basements in villas    Attic spaces    Parking    Parking lobbies    Internal roads    Loading areas    Mechanical and service rooms    Mechanical ducts    Elevator shaft at elevator recall floor    Elevator shafts at other floors    Elevator machine rooms    Included    Included    Included    Included    Included    Habitable and occupiable spaces including  sanitary facilities to be included    Excluded    Attic spaces less than 2.15 m height and used for  services only to be excluded    Excluded    Excluded    Excluded    Excluded    Excluded    Excluded    Included    Excluded    Excluded    Mechanical, electrical and plumbing plant floors    Excluded    Excluded    Excluded    Excluded    Excluded    Shafts    Refuse chutes    Waste rooms    Storage below ground    Table A.3 Areas included in GFA    A 11    Dubai Building Code    Part A: General     Built-up area    A.5.2.2  Built-up area is used also by Planning Authorities."
170,"It  is defined as the total constructed area in a building  or structure measured from the external walls of the  building, inclusive of balconies, terraces and other  projections as well as any other covered spaces such  as covered parking structures, circulation corridors,  loading/unloading bays, basements, service floors,  indoor swimming pools and any other permanent  structures on the plot."
171,"Calculation of total built-up area  shall exclude the following:    a) shafts, courtyards and yards including mechanical,    electrical and plumbing (MEP) shafts, refuse chutes  and similar;    16    18    17    06    01    02    03    05    04    08    07    11    05    09    12    14    15    b) non-covered outdoor landscape and hardscape    06    10    13    surfaces and courtyards;    c) lightweight outdoor shading structures such as    pergolas and standalone canopies."
172,An example calculation using a sample plan is shown in  Figure A.1.
173,Figure A.1 Total built-up area (highlighted areas are included in area definition)    Key  01: Gym  02: Lobby  03: Ballroom  04: Prayer room  05: MEP  06: Corridor    07: Staff toilets  08: Staff  09: Meeting room  10: Service corridor  11: Electrical  12: Restaurant    13: Back-of-house  14: Kitchen  15: Service block  16: Pergolas  17: Parking canopy  18: Plot limit    A 12    Dubai Building Code    Part A: General     Gross area and net area    A.5.2.3  The terms “gross area” (GA) and “net area” (NA) are  used by the DBC to calculate occupant load in a floor  or space.
174,They are defined in A.2 and further described  and illustrated in Part B.
175,"Building height    A.5.2.4  Building height is a key variable that is checked by  the Authorities for compliance with the DBC, DCR/  affection plans, UAE FLSC [Ref."
176,"A.1] and, where  applicable, DCAA restrictions on building heights  located in Aviation easement areas due to overhead  flight paths."
177,Each definition of building height is slightly different  as they are used to regulate different issues.
178,"For this  reason, Consultants shall check building height against  the DBC, DCR/affection plans, UAE FLSC [Ref."
179,"A.1]  and, where applicable, DCAA regulations [Ref."
180,A.6].
181,A 13    Dubai Building Code    Part A: General     Part H  Indoor environment    Part D  Vertical transportation    Part F  Structure    A.6 Navigating the DBC    A.6.1    Division into Parts    The DBC is divided into Parts as described in Figure A.2.
182,Each Part is subdivided into sections by topic.
183,Minimum requirements for sustainability are embedded  within the relevant Parts of the DBC.
184,Developers and  Consultants are encouraged to apply the rating system  adopted by the relevant Authority to assess their  projects and exceed these minimum requirements.
185,Fire safety requirements are given in the relevant  Parts of the DBC and cross referenced to UAE FLSC  [Ref.
186,A.1].
187,The aim of this cross-referencing is to help  Consultants navigate and coordinate the requirements  of the two documents.
188,"Where an element of UAE FLSC  is not applicable in Dubai, or the DBC contains additional  information not in UAE FLSC, this is indicated in the  text."
189,"Part E  Building envelope    Part J  Security    Part K  Villas    Part B  Architecture    Part C  Accessibility    Figure A.2 How to use and navigate the DBC    Part G  Incoming utilities    A 14    Dubai Building Code    Part A: General     A.6.2    Performance statements    A.6.4    Definitions    The overarching objectives of the DBC, its intention  and regulatory scope, are set out in A.1."
190,"In addition to the common definitions in A.2, each Part  has a section for definitions."
191,A.6.5    Annexes    Any annex material is included at the end of the Part  to which it relates.
192,Annex material contains further  explanatory material.
193,Each Part of the DBC starts with a set of performance  statements.
194,"These set out the broad outcomes that  the completed building is expected to achieve, and  are provided to explain the intent of the prescriptive  design requirements within the Part."
195,"If the prescriptive  design requirements of the Part are followed, then the  performance statements of the Part are deemed to be  met and will be accepted by the Authority."
196,A.6.3    References    Each Part has a section for essential references and  further reading.
197,The requirements of the DBC and  the essential references form the prescriptive design  requirements of the DBC and will be enforced by the  Authority.
198,Websites and webpages shall be checked  regularly for updates.
199,"NOTE: Where websites and webpages have been cited  throughout the DBC, they are provided for ease of  reference and are correct at the time of publication."
200,"Changes to the location of a webpage or website, or its  contents, cannot be guaranteed."
201,A 15    Dubai Building Code    Part A: General     A.7 Adoption of DBC    A.8 Alternative solutions    Projects in design or construction that have a final  approved design from the Authority do not need to  conform to the DBC.
202,Projects in design without a final approved design shall  conform to the DBC.
203,The requirements of the DBC are  based on regulations enforced prior to its publication  and in many instances the DBC is less stringent.
204,"For  example, requirements unrelated to health, safety,  welfare and environment have generally been removed  from the regulations."
205,"Therefore, it is expected that  there will be benefits to Developers and Owners in  adopting the DBC."
206,The DBC is intended to be a prescriptive design code.
207,Performance statements are provided at the start of  each Part to describe the outcomes that the completed  building is expected to achieve.
208,Alternative solutions shall be applied to a performance-  based design holistically such that a change from  one Part of the DBC does not reduce the building’s  performance in other aspects.
209,Alternative solutions for changes to existing buildings  shall demonstrate that the existing conditions are  maintained to the current level of compliance or  improved to meet the safety levels of the DBC and  UAE FLSC [Ref.
210,A.1].
211,The Authority will decide whether or not a  performance-based design is equivalent to the  prescriptive design requirements.
212,The responsibility  is on the Consultant to demonstrate that the  performance-based design is required and that  it is at least equivalent to the prescriptive design  requirements.
213,The DBC lists preferred international codes and  standards in each Part (see A.4.2).
214,"Where permitted  by the Authority, alternative standards can be used  provided that the comparable standard meets the  intent of the DBC."
215,The performance statements form a set of overarching  regulations that convey the requirements of the  DBC (see A.6.2).
216,The preferred method of meeting the performance  statements of the DBC is to follow the prescriptive  design requirements in each Part.
217,"The inclusion of performance statements sets out the  intent of the DBC and future-proofs it, supporting  a possible transition to a more performance-based  regulatory system in the future."
218,Alternative solutions which meet the performance  statements of the DBC are permitted:    a) for projects that cannot reasonably meet the    prescribed requirements; and    b) for changes to existing buildings where the  requirements of the DBC would result in a  disproportionate cost to the Owner/Developer.
219,The Authority will decide if an alternative solution is  permitted.
220,An alternative solution shall meet the intent of  the performance statements and provide at least  an equivalent level of performance to all of the  prescriptive design requirements.
221,"A 16    Dubai Building Code    Part A: General     A.9 Maintenance of DBC    A.10 Copyright    A.11 Coordinate system    No content of the DBC, in part or whole, shall be  copied, printed, sold or reproduced in any format."
222,The coordinate system used by the Authority is Dubai  Local Transverse Mercator (DLTM).
223,The reference  point for levelling is Port Rashid.
224,A.9.1    General    The DBC is an interactive document available  electronically.
225,The DBC will typically be maintained and updated on a  two- to three-year cycle.
226,"If necessary, addendums will  be issued between cycles."
227,"It is therefore important that  Consultants, Contractors and Engineers check back  regularly to ensure that they are following the latest  version of the DBC."
228,A.9.2    Latest changes to DBC    This edition is the first edition of the DBC.
229,Amended content in future editions will be clearly  indicated.
230,"For example, new content will be side lined in  the first edition in which it is published."
231,"A 17    Dubai Building Code    Part A: General     A.12 Dimensions, units and calculations    Unit    Length    Mass    Time    Temperature    Energy    Acceleration    Area    Frequency    Velocity    Volume    Density    Stress    Force    Moment    Stiffness    SI-system symbol  (preferred units)    System mm-t-s    Symbol    System mm-kg-ms    Conversion from SI  units    Symbol    Conversion from SI  units    m    kg    s    oC    J    m/s2    m2    Hz    m/s    m3    kg/m3    N/m2    N    Nm    N/m    mm    t    s    oC    mJ    mm/s2    mm2    Hz    mm/s    mm3    t/mm3    N/mm2    N    Nmm    N/mm    103    10−3    1    1    103    103    106    1    103    109    10−12    10−6    1    103    10−3    mm    kg    ms    oC    J    mm/ms2    mm2    ms−1    mm/ms    mm3    kg/mm3    kN/mm2    kN    kNmm    kN/mm    103    1    103    1    1    10−3    106    10−3    1    109    10−9    10−9    10−3    1    10−6    Table A.4 Preferred units    A.12.1    Dimensions    All dimensions in the figures and diagrams of the  DBC are given in millimetres without units, unless the  distance exceeds 1,000 mm, and then it is given in  metres with units (m)."
232,Dimensions that are not stated  as “maximum” or “minimum” are absolute.
233,"All dimensions are subject to conventional industry  tolerances, except where the requirement is stated as a  range with specific minimum and maximum end points."
234,A.12.2    Units    All quantities shall be in metric units with the units  defined.
235,All engineering shall be performed in dynamically  consistent units.
236,One of the two systems shown in  Table A.4 should be used.
237,"Use of dimensions between  analysis models, drawings and/or building information  modelling (BIM) models shall be fully coordinated and  consistent."
238,A.12.3    Calculations    Where the required number of elements (e.g.
239,"parking  or sanitary provisions) to be provided is determined by  calculations of ratios or percentages, and this results in  remainders or fractions, the next greater whole number  of such elements shall be provided."
240,A 18    Dubai Building Code    Part A: General     B.1    B.2    B.3    B.4    B.5    B.6    B.7    B.8    B.9    Performance statements    Definitions    References    General architectural provisions    Minimum space requirements    Circulation requirements and openings    Building access and vehicular requirements    Communal provisions in buildings    Architectural requirements for specific building  types and spaces    B.10    Buildings interaction with outdoor environment    B.11 Wayfinding in buildings    B 1    Dubai Building Code    Part B    Architecture       B.1    Performance statements    Performance statement    The building shall be appropriately  integrated with the surrounding natural  and built environment.
241,"The building shall facilitate the safety,  convenience and welfare of building  occupants as they move in and around  the building, including access and  egress."
242,The building shall provide appropriate  access and safe circulation for vehicles  within the site and building.
243,The building shall provide minimum  communal provisions and facilities for  the welfare of occupants.
244,The building shall be provided with  adequate and accessible solid waste and  recycling storage to safeguard people  from injury or illness caused by infection  or contamination.
245,"The performance statement will be met  by following the requirements of:    B.4, B.9 and B.10    B.4, B.5, B.6, B.9 and B.11    B.7 and B.9    B.8 and B.9    B.8.5 and B.9    B 2    Dubai Building Code    Part B: Architecture     B.2 Definitions    B.2.1    Terms    Accessibility: Ease of independent approach, entry,  evacuation and/or use of a building and its services  and facilities by all of the building’s potential users,  regardless of disability, age or gender, and with an  assurance of individual health, safety and welfare."
246,"Accessible: Site, building, facility or portion thereof  that conforms to Part C.    Advertising: Any identification or description or  drawing or any other means to be fitted or erected or  printed or written or drawn, either directly or indirectly,  or any building or structure or plot, whose purpose is  to draw attention to any business, product, service, etc."
247,"Affection plan: Plan of the plot or site issued by the  Authority, showing information that includes (but is  not limited to) the plot boundaries, plot dimensions,  plot areas, setbacks and surroundings as well as the  land uses."
248,Also called site plan.
249,"Amenity space: Public or private area within the  boundaries of a plot or a development site for the  building occupant’s recreation or convenience (such as  landscaped areas, patios, swimming pools, play areas,  prayer rooms, exercise areas and similar uses)."
250,"Annex: Building or installation, attached to or  independent from the main building, the use of which  is secondary or complementary to the function of the  main building."
251,"B 3    Arcade: Roofed corridor that leads to any building,  faces a street or open courtyard, or links more than  one building."
252,Usually formed through a series of arches  supported on columns or piers (see Figure B.1).
253,Authorized use: Plot use or building occupancy  authorized according to the classification of lands  in Dubai noted in the official affection plan or  development regulation.
254,"Balcony: Covered or uncovered occupied projection or  partial projection outside the external walls, attached  to the building and accessed from the building's  interior spaces (see Figure B.2)."
