,Sentences,length,word_count,length_change,wordcount_change
57,"university, college, school, kindergarten, nursery, educ institut hotel establish hotel, resort, guesthouse, hotel apart residenti apartment, studio, student accommodation, labour accommodation, staff accommod park retail mall industri storag villa townhous open, enclosed, mechan shop centre, depart store, shop, kiosk, showroom, store open mall, enclos mall factory, workshop warehous tabl a.2 occup use type chang exist build renov descript applic code chang linings/finish strengthen structure. involv reconfigur intern spaces. dbc uae flsc ref. a.1 appli interior finish chang build envelop chang",601,80,98,0
58,"modif fit-out space/unit, chang servic system build element",59,8,12,0
59,dbc uae flsc ref. a.1 appli fit-out chang,41,8,1,0
60,reconstruct modif stand-alone. affect adjac egress rout system part reconstruct area larger part build might need close occupi period time,138,20,26,0
61,chang use chang use occup part build,36,7,9,0
62,"dbc uae flsc ref. a.1 appli reconstruct area build impact reconstruction. dbc uae flsc ref. a.1 appli chang use area build impact chang use, e.g. exist exit stair routes, vertic transport, quantiti type sanitari provis",218,35,27,0
63,"addit increas building’ gross area built-up area, and/or height depth",69,10,5,0
64,"dbc uae flsc ref. a.1 appli addition. addit reli remaind exist build escape, vertic transport, etc., exist build shall also assess dbc uae flsc ref. a.1. tabl a.1 exist build applic dbc 9 dubai build code part gener dbc appli a) infrastructur road rail bridges, tunnels, culverts, metro stations, hydraul structures, buri overhead utilities, power stations, antenna masts, wind turbin nuclear facil b) marin structur canals, dams, dikes, levies, piers, jetti wharv c) oil ga structur petrochem facilities, oil refineries, liquefi natur ga terminals, oil platform tank d) structur tents, cranes, storag racks, scaffolding, formwork a.5.2 floor area build height definit dbc gross floor area (gfa) a.5.2.1 gross floor area (gfa) use plan author dubai defin floor area ratio (far), far ratio gfa plot area. build gfa sum gfa floors, measur exterior surfac extern wall thick centrelin common wall join two spaces. measur exclud extern wall featur corniches, brackets, façad clad materials. falsework gfa calcul base tabl a.3. e) structur subject specif load condit stadia, grandstands, silo chimneys. gfa might develop control regul (dcr). consult shall calcul gfa use dbc definit tabl a.1 unless gfa state dcr",1206,187,171,0
65,dbc appli histor build origin charact build retained. build consid histor shall conform guidelin relev author appropriate. build heritag area consid heritag build shall follow dbc. heritag depart author control elev design façad treatment,238,34,65,0
66,villa townhous address part k,29,5,5,0
67,"10 dubai build code part gener space area includ exclud gfa space area includ exclud gfa storag ground prayer room ablut area gym gross area ≤50% roof area gym gross area >50% roof area swim pool (indoor outdoor) includ servic (showers, toilets, lockers, chang rooms, etc.) arcad (open, non-air conditioned) base doubl height volum atria void doubl height floor atria floor void terrac balconi includ exclud exclud gross area gym exceed 50% included* exclud exclud includ exclud exclud exclud exclud note * rule associ roof area appli gym locat anywher build",558,91,78,0
68,"habit occupi space includ sanitari facil mezzanin floor lobbi corridor stair basement build villa basement villa attic space park park lobbi intern road load area mechan servic room mechan duct elev shaft elev recal floor elev shaft floor elev machin room includ includ includ includ includ habit occupi space includ sanitari facil includ exclud attic space less 2.15 height use servic exclud exclud exclud exclud exclud exclud exclud includ exclud exclud mechanical, electr plumb plant floor exclud exclud exclud exclud exclud shaft refus chute wast room storag ground tabl a.3 area includ gfa 11 dubai build code part gener built-up area a.5.2.2 built-up area use also plan authorities. defin total construct area build structur measur extern wall building, inclus balconies, terrac project well cover space cover park structures, circul corridors, loading/unload bays, basements, servic floors, indoor swim pool perman structur plot. calcul total built-up area shall exclud follow a) shafts, courtyard yard includ mechanical, electr plumb (mep) shafts, refus chute similar 16 18 17 06 01 02 03 05 04 08 07 11 05 09 12 14 15 b) non-cov outdoor landscap hardscap 06 10 13 surfac courtyard c) lightweight outdoor shade structur pergola standalon canopi",1252,196,261,0
69,exampl calcul use sampl plan shown figur a.1,44,8,10,0
70,"figur a.1 total built-up area (highlight area includ area definition) key 01 gym 02 lobbi 03 ballroom 04 prayer room 05 mep 06 corridor 07 staff toilet 08 staff 09 meet room 10 servic corridor 11 electr 12 restaur 13 back-of-hous 14 kitchen 15 servic block 16 pergola 17 park canopi 18 plot limit 12 dubai build code part gener gross area net area a.5.2.3 term “gross area” (ga) “net area” (na) use dbc calcul occup load floor space. defin a.2 describ illustr part b. build height a.5.2.4 build height key variabl check author complianc dbc, dcr/ affect plans, uae flsc ref. a.1 and, applicable, dcaa restrict build height locat aviat easement area due overhead flight paths. definit build height slightli differ use regul differ issues. reason, consult shall check build height dbc, dcr/affect plans, uae flsc ref. a.1 and, applicable, dcaa regul ref. a.6",856,145,109,0
71,13 dubai build code part gener part h indoor environ part vertic transport part f structur a.6 navig dbc a.6.1 divis part dbc divid part describ figur a.2. part subdivid section topic,183,32,35,0
72,"minimum requir sustain embed within relev part dbc. develop consult encourag appli rate system adopt relev author assess project exceed minimum requirements. fire safeti requir given relev part dbc cross referenc uae flsc ref. a.1. aim cross-referenc help consult navig coordin requir two documents. element uae flsc applic dubai, dbc contain addit inform uae flsc, indic text",376,57,90,0
73,"part e build envelop part j secur part k villa part b architectur part c access figur a.2 use navig dbc part g incom util 14 dubai build code part gener a.6.2 perform statement a.6.4 definit overarch object dbc, intent regulatori scope, set a.1. addit common definit a.2, part section definit",292,51,63,0
74,a.6.5 annex annex materi includ end part relates. annex materi contain explanatori materi,89,13,11,0
75,"part dbc start set perform statements. set broad outcom complet build expect achieve, provid explain intent prescript design requir within part. prescript design requir part followed, perform statement part deem met accept author",229,33,46,0
76,a.6.3 refer part section essenti refer reading. requir dbc essenti refer form prescript design requir dbc enforc authority. websit webpag shall check regularli updat,165,24,44,0
77,"note websit webpag cite throughout dbc, provid eas refer correct time publication. chang locat webpag website, contents, cannot guarante",136,19,20,0
78,15 dubai build code part gener a.7 adopt dbc a.8 altern solut project design construct final approv design author need conform dbc,130,22,26,0
79,"project design without final approv design shall conform dbc. requir dbc base regul enforc prior public mani instanc dbc less stringent. example, requir unrel health, safety, welfar environ gener remov regulations. therefore, expect benefit develop owner adopt dbc",264,38,56,0
80,dbc intend prescript design code. perform statement provid start part describ outcom complet build expect achieve. altern solut shall appli performance- base design holist chang one part dbc reduc building’ perform aspect,221,32,48,0
81,altern solut chang exist build shall demonstr exist condit maintain current level complianc improv meet safeti level dbc uae flsc ref. a.1. author decid whether performance-bas design equival prescript design requirements. respons consult demonstr performance-bas design requir least equival prescript design requir,315,42,75,0
82,"dbc list prefer intern code standard part (see a.4.2). permit authority, altern standard use provid compar standard meet intent dbc. perform statement form set overarch regul convey requir dbc (see a.6.2). prefer method meet perform statement dbc follow prescript design requir part. inclus perform statement set intent dbc future-proof it, support possibl transit performance-bas regulatori system futur",404,57,90,0
83,altern solut meet perform statement dbc permit a) project cannot reason meet prescrib requir b) chang exist build requir dbc would result disproportion cost owner/develop,170,25,50,0
84,"author decid altern solut permitted. altern solut shall meet intent perform statement provid least equival level perform prescript design requirements. 16 dubai build code part gener a.9 mainten dbc a.10 copyright a.11 coordin system content dbc, part whole, shall copied, printed, sold reproduc format",302,44,50,0
85,coordin system use author dubai local transvers mercat (dltm). refer point level port rashid,92,14,18,0
86,"a.9.1 gener dbc interact document avail electronically. dbc typic maintain updat two- three-year cycle. necessary, addendum issu cycles. therefor import consultants, contractor engin check back regularli ensur follow latest version dbc. a.9.2 latest chang dbc edit first edit dbc",279,39,41,0
87,"amend content futur edit clearli indicated. example, new content side line first edit publish",93,14,13,0
88,"17 dubai build code part gener a.12 dimensions, unit calcul unit length mass time temperatur energi acceler area frequenc veloc volum densiti stress forc moment stiff si-system symbol (prefer units) system mm-t- symbol system mm-kg-m convers si unit symbol convers si unit kg oc j m/s2 m2 hz m/ m3 kg/m3 n/m2 n nm n/m mm oc mj mm/s2 mm2 hz mm/ mm3 t/mm3 n/mm2 n nmm n/mm 103 10−3 1 1 103 103 106 1 103 109 10−12 10−6 1 103 10−3 mm kg ms oc j mm/ms2 mm2 ms−1 mm/m mm3 kg/mm3 kn/mm2 kn knmm kn/mm 103 1 103 1 1 10−3 106 10−3 1 109 10−9 10−9 10−3 1 10−6 tabl a.4 prefer unit a.12.1 dimens dimens figur diagram dbc given millimetr without units, unless distanc exce 1,000 mm, given metr unit (m). dimens state “maximum” “minimum” absolut",733,141,75,0
89,"dimens subject convent industri tolerances, except requir state rang specif minimum maximum end point",101,14,19,0
90,a.12.2 unit quantiti shall metric unit unit defin,49,8,7,0
91,"engin shall perform dynam consist units. one two system shown tabl a.4 used. use dimens analysi models, draw and/or build inform model (bim) model shall fulli coordin consist",174,28,48,0
92,"a.12.3 calcul requir number element (e.g. park sanitari provisions) provid determin calcul ratio percentages, result remaind fractions, next greater whole number element shall provid",182,24,30,0
93,18 dubai build code part gener b.1 b.2 b.3 b.4 b.5 b.6 b.7 b.8 b.9 perform statement definit refer gener architectur provis minimum space requir circul requir open build access vehicular requir commun provis build architectur requir specif build type space b.10 build interact outdoor environ b.11 wayfind build b 1 dubai build code part b architectur b.1 perform statement perform statement build shall appropri integr surround natur built environ,448,70,134,0
94,"build shall facilit safety, conveni welfar build occup move around building, includ access egress. build shall provid appropri access safe circul vehicl within site build",170,25,38,0
95,build shall provid minimum commun provis facil welfar occupants. build shall provid adequ access solid wast recycl storag safeguard peopl injuri ill caus infect contamin,169,25,48,0
96,"perform statement met follow requir b.4, b.9 b.10 b.4, b.5, b.6, b.9 b.11 b.7 b.9 b.8 b.9 b.8.5 b.9 b 2 dubai build code part b architectur b.2 definit b.2.1 term access eas independ approach, entry, evacu and/or use build servic facil building’ potenti users, regardless disability, age gender, assur individu health, safeti welfar",332,54,58,0
98,"advertis identif descript draw mean fit erect print written drawn, either directli indirectly, build structur plot, whose purpos draw attent business, product, service, etc",172,24,32,0
99,"affect plan plan plot site issu authority, show inform includ (but limit to) plot boundaries, plot dimensions, plot areas, setback surround well land uses. also call site plan",175,28,24,0
100,"amen space public privat area within boundari plot develop site build occupant’ recreat conveni (such landscap areas, patios, swim pools, play areas, prayer rooms, exercis area similar uses)",190,28,29,0
102,"b 3 arcad roof corridor lead building, face street open courtyard, link one building. usual form seri arch support column pier (see figur b.1)",142,24,19,0
103,author use plot use build occup author accord classif land dubai note offici affect plan develop regul,102,17,41,0
104,"balconi cover uncov occupi project partial project outsid extern walls, attach build access build interior space (see figur b.2)",128,19,30,0
105,"figur b.1 arcad assembl occup classif associ gather peopl deliberation, worship, entertainment, eating, drinking, amusement, await transportation, similar use",158,19,26,0
106,"atrium large-volum space creat floor open seri floor openings, connect two storey exceed 15 height finish floor. space cover top opening(s) use purpos enclos stairway, elev hoistway, escal open util shaft",204,31,38,0
107,"figur b.2 balconi basement floor storey build wholli partli gate level first storey gate level. basement slab soffit level higher 1,200 mm build gate level",155,25,7,0
108,"dubai build code part b architectur bathroom room contain water closet, washbasin, either bathtub, shower, both. bi-separ piec equip fit end refus chute allow user deposit multipl wast streams, recycl residu waste, singl refus chute. build height, total vertic distanc measur approv road edg level plot main access highest roof surfac element",342,52,42,0
109,"build height vertic distanc measur approv road edg level plot main access mean finish level build roof. boundari wall/fenc free-stand structur construct approv materi surround plot, rest ground rise ground level use confin and/or screen safeti secur divis purpos",262,39,53,0
111,"build element compon building, might might fire resist rate construct construct approv materials. build envelop physic barrier exterior condit environ build resist air, water, moisture, heat, cold, light, nois transfer. air-condit building, build envelop compris element build separ condit space exterior. crown extens façad cover plant screen clad part build envelope. build envelop includ physic barrier ground",412,57,80,0
112,"build occup person use building. build project project protrus extend outsid vertic extern wall floor below, balconi",116,17,30,0
114,"built environ extern intern environ element, compon fit commissioned, designed, construct manag use peopl",105,14,25,0
115,"bulki wast waste, furniture, usual larg regular wast collect",60,9,9,0
116,"busi occup use transact busi retail, usual use office, profession service-typ transactions, includ storag record account",120,16,28,0
117,"canopi build project provid weather protection, ident decor partial wholli support build attached. carpool vehicl share vehicl use peopl car travel togeth save cost, reduc drive stress promot socio environment benefit",217,31,37,0
118,"chimney primarili vertic structur contain one flues, purpos carri gaseou product combust air fuel-burn applianc outdoor atmospher",129,17,20,0
119,"chute vertic shaft slope channel provid build util services. circul mean passag pedestrian around built environment, includ (but limit to) corridors, hallways, courtyards, stairway stair land",191,26,32,0
121,clinic build (or portion thereof) use provid medic care less 24 h basis. corridor enclos compon defin provid path travel,120,20,18,0
122,"b 4 dubai build code part b architectur courtyard open, uncov space, unobstruct sky, bound three side exterior build wall enclos devic shown figur b.3",150,25,23,0
123,"develop gener term construction, erect place build structur make addit alter build structur signific chang use intens use build structure. entranc access point building, portion build facility. entranc includ approach walk, vertic access lead entranc platform, entranc platform entri door(s) gate(s)",299,41,53,0
124,"develop control regul (dcr) document show plan regul (such height, land use, area, setbacks, build lines) full development, plot subdivis plan, issu relev plan author master develop",181,27,41,0
125,"door combin door leaf leaves, frame, hardware, accessories, posit open wall intend primarili access egress",106,15,15,0
126,driveway access requir off-street park load facil area,54,8,11,0
127,"educ occup use educ purposes, includ train centr universities. element compon space building, facil site",104,15,31,0
128,elev lobbi land occup directli enter elev car(s) occup directli enter upon leav elev car(s),91,15,26,0
129,"enclos park park occup partial wholli enclos sides, qualifi open park",69,11,19,0
130,"environment impact assess (eia) process predicting, identifi evalu like impact (initi cumulative), benefici adverse, project environ includ potenti effect environ project",170,21,35,0
131,exhibit space structur use display product servic,49,7,8,0
132,exit access portion mean egress lead exit,41,7,2,0
133,exit discharg portion mean egress termin exit public way,56,9,7,0
134,"exit passageway exit compon separ space build structur fire resist rate construct open protectives, provid protect path egress travel horizont direct exit discharg public way outsid building. addit use exit passageway includ stair transfer upper floor well reduc travel distanc exit exit passageway lead stair exit discharge. (a) side bound courtyard (b) 3 side bound courtyard figur b.3 courtyard curb rais edg roadway, concret floor slab around roof plant",457,69,56,0
135,daylight illumin interior space use natur light,47,7,13,0
136,"depart store store, exhibition, building, part build use retail sale broad varieti item",87,13,9,0
137,"design prefer park space park space closest main entranc building, exclud access spaces, park space closest pedestrian exit park area",133,20,30,0
138,"b 5 dubai build code part b architectur exterior stairway stairway open least one side, except requir structur columns, beams, handrail guardrails. adjoin open area either yards, courtyard public ways. side exterior stairway close",230,34,15,0
139,"extern wall wall, load bear non-load bearing, use enclos wall build might form part build envelop",97,16,16,0
140,"facil portion buildings, structures, site improvements, equipment, roads, walks, passageways, park lot properti locat site",122,15,9,0
141,feed room lactat room privat space nurs mother nurs child lactat,64,11,12,0
142,"fix seat furnitur fixtur design instal use sitting, secur place. includ bench-typ seat seat without back arm rest",113,18,21,0
143,flight continu run stair tread one land anoth,45,8,9,0
144,flood flood gener temporari condit partial complet inund normal dri land a) overflow inland tidal water b) unusu rapid accumul runoff surfac water sourc,152,24,27,0
148,"fuel dispens facil facil motor fuel store dispens fix equip fuel tank motor vehicl marin craft approv containers, includ equip use connect therewith",148,23,38,0
149,gate level defin height plot boundari vehicular pedestrian access point plot. elev differ road level (exist future) level plot’ access point,140,21,15,0
153,"gross area (ga) floor area within insid perimet exterior wall building. measur exclud shaft courtyards, includ corridors, stairways, ramps, closets, base atria (or similar voids) thick interior walls, column features. ground floor first floor build gate level. guard room room, unit, residenti space plot land main building, locat within main building, design occup guard",371,54,34,0
155,"habit space space build living, sleep eat involv occup continu period time. bathrooms, toilet rooms, closets, halls, storag util space similar area habit space",159,24,34,0
156,handrail horizont slope rail intend handhold grasp hand guidanc support (see figur b.4),87,13,11,0
157,"b 6 dubai build code part b architectur hardscap area project site, exclud buildings, made hard materials, includ roads, car parks, patios, courtyard walkway",157,24,13,0
158,"hazard wast wast materi caus substanti harm humans, properti and/ environ due inher hazard characteristics. hazard wast take form solid, liquid, sludge, ga combin thereof. healthcar occup use provid medical, psychiatric, surgical, therapeut treatment peopl",256,35,43,0
159,"helipad dedic structur surfac use landing, take off, taxi park helicopt",71,11,19,0
160,"high-ris build build height greater equal 23 90 m, measur accord uae flsc ref. b.1. detail definit given uae flsc",113,20,18,0
161,"hospit build portion thereof use 24 h basi medical, psychiatric, obstetr surgic care four inpati",96,15,17,0
162,hotel build group build manag sleep accommod lodg without meal peopl transient basi,83,13,28,0
163,"hotel apart collect apart studio rent guest day, week, month year",65,11,17,0
164,"b 7 hotel establish hotels, guest houses, hotel apart resort",60,10,10,0
165,hotel suit separ guest unit hotel contain one bedroom live room servic,70,12,10,0
166,"housekeeper’ room attach separ room unit plot land main building, design resid housekeep mainten staff gardeners, guard drivers. hybrid vehicl vehicl use two differ form power, electr motor intern combust engine, electr motor batteri fuel cell energi storag",257,38,41,0
167,illumin amount light fall onto surfac area,42,7,8,0
168,"industrial/factory/workshop occup product manufactur processing, assembling, mixing, packaging, finishing, decorating, repair oper conduct",138,13,15,0
169,01 02 03 04 key 01 handrail 02 tactil surfac 03 tread 04 riser figur b.4 stair compon dubai build code part b architectur intersect cross two road,146,28,18,0
170,"kiosk temporari perman structur lightweight construct occupi retail outlet, food outlet servic outlet. kiosk gener locat malls, shop centres, assembl area exhibit centr",168,23,28,0
171,"kitchen place prepar meal beverages. labour accommod build use group accommod worker compani firm, sanitari facil servic common",127,18,28,0
173,"land use activities, operations, purpos employ particular geograph area specif manner plot land utilized. land use usual regul zone plan regul",142,21,26,0
175,line sight imaginari line eye perceiv object view,49,8,2,0
176,"load area area use load unload vehicles, locat entir privat properti provid perman independ access",98,15,24,0
177,lobbi entranc foyer space build act transit area,48,8,8,0
178,local road roadway primari function provid access adjac properti roadway higher function classif,96,13,18,0
179,local speci local plant plant adapt local environ,49,8,10,0
180,"low-ris build build height less 15 m, measur accord uae flsc ref. b.1. detail definit given uae flsc. low-depth underground build build 7 two basement level exit discharge, measur accord uae flsc ref. b.1. detail definit given uae flsc. main build build use main prime function use within plot",293,49,45,0
181,"mall pedestrian area within build serv access multipl tenant level open other. cover mall enclos roof common pedestrian way. open mall unroof common pedestrian way. mass overal mass size build project, physic volum magnitud",223,34,27,0
184,"mechan park park area employ park machines, lifts, elev mechan devic vehicl move street level. public occup prohibit street level",129,20,38,0
185,"mezzanin floor intermedi level level floor ceil storey equal less one-third floor contain in. partial floor greater one-third floor contain floor, mezzanine. mid-ris build build height greater 15 less 23 m, measur accord uae flsc ref. b.1. detail definit given uae flsc. mix use build build structur contain two occup",317,50,48,0
186,"b 8 dubai build code part b architectur mosque, awqat mosqu mosqu build dedic daili five prayers, usual locat surround area residenti neighbourhood",147,23,23,0
187,"offic build space within build business, clerical, profession activ conducted. mosque, eid musalla non-roof open musalla use eid prayer congreg",143,20,22,0
188,"mosque, jumaa mosqu mosqu build dedic daili five prayer friday prayer attend larg number worshipp",97,15,16,0
190,"net area (na) actual occupi area, includ unoccupi accessori area corridors, stairways, ramps, toilet rooms, mechan room closet",126,18,14,0
191,"net floor height net distanc finish floor level (ffl) floor expos surfac floor celling. nose project front edg stair tread land rounded, chamfer otherwis shape",159,25,19,0
192,occup purpos build portion thereof use intend use,49,8,12,0
193,"occup load total number person might occupi build portion thereof. occupi space room enclos space design human occup individu congreg amusement, labour, educ similar purpos",172,25,34,0
194,b 9 open park park occup park level perman wall open natur ventil purposes. exterior side structur uniformli distribut open two sides. area open extern wall level less 20% total perimet wall area level. total width open consid provid natur ventil less 40% perimet level,269,45,64,0
